,name,jersey,class,position,height,weight,hometown,hs,img,stats_page
0,Tom Papa,90,Gr.,DL,6.3,260.0,"MEDFORD, NJ",Shawnee,https://muhlenbergsports.com//images/2024/8/25/FBpapat24_uCCl3.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/tom-papa/8335
0,Derek Rosenow,91,Sr.,DE,6.3,250.0,"STATEN ISLAND, NY",St. Peter's,https://muhlenbergsports.com//images/2024/8/25/FBrosenow24_dnQGS.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/derek-rosenow/8173
0,Connor Fenstermaker,92,Sr.,K,6.3,190.0,"WHITEHALL, PA",Whitehall,https://muhlenbergsports.com//images/2024/8/25/FBfenstermaker24_hE5ws.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/connor-fenstermaker/8133
0,Shane Moreau,92,Fr.,LB,5.9,220.0,"BRONX, NY",Central Park East,https://muhlenbergsports.com//images/2024/8/25/FBmoreau24_0rSmL.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/shane-moreau/8332
0,Myles Byrd Rice,93,Fr.,DL,6.0,270.0,"MATAWAN, NJ",St. John Vianney,https://muhlenbergsports.com//images/2024/8/25/FBbyrdrice24_aSAVD.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/myles-byrd-rice/8304
0,Colin Kearney,93,So.,DL,6.3,230.0,"PHILADELPHIA, PA",Germantown Academy,https://muhlenbergsports.com//images/2024/8/25/FBkearney24_RP9Ij.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/colin-kearney/8143
0,Stoney Fuller,94,Fr.,DL,5.1,230.0,"EAST STROUDSBURG, PA",Stroudsburg,https://muhlenbergsports.com//images/2024/8/25/FBfullerbey24_yz2oh.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/stoney-fuller-bey/8312
0,Joel Herrera,95,Fr.,DL,6.2,260.0,"STONY POINT, NY",North Rockland,https://muhlenbergsports.com//images/2024/8/25/FBherrera24_Ka4jz.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/joel-herrera/8317
0,Nick Servidio,97,Fr.,DL,6.3,220.0,"FLUSHING, NY",Holy Cross,https://muhlenbergsports.com//images/2024/8/25/FBservidio24_0opvK.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/nick-servidio/8339
0,Andrew Franklin,98,Sr.,DE,6.4,252.0,"ANNANDALE, NJ",North Hunterdon,https://muhlenbergsports.com//images/2024/8/25/FBfranklin24_qIZ37.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/andrew-franklin/8135
0,Andrew Deutsch,99,Fr.,K,5.7,160.0,"WHITEHALL, PA",Whitehall,https://muhlenbergsports.com//images/2024/8/25/FBdeutsch24_G1u00.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/andrew-deutsch/8310
0,Matt Papa,99,Sr.,DE,6.3,240.0,"MEDFORD, NJ",Shawnee,https://muhlenbergsports.com//images/2024/8/25/FBpapam24_4gjzW.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/matt-papa/8161
0,Sebastian Chaney,-1,Fr.,RB,5.7,190.0,"BALTIMORE, MD",Gilman School,https://muhlenbergsports.com//images/2024/8/25/FBchaney24_fxQ75.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/sebastian-chaney/8307
